,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price
0,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Om Sai Ram (C.T),NON A/C Seater (2+2),14:10,06h 50m,21:00,3.3,500
1,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Om Sai Ram (C.T),NON A/C Seater (2+2),14:50,07h 00m,21:50,3.3,450
2,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,05h 32m,02:00,3.2,450
3,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,06h 40m,05:00,3.7,523
4,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Vivek Travels,A/C Seater (2+2),13:25,07h 00m,20:25,0.0,450
5,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Vivek Travels,A/C Seater / Sleeper (2+2),13:30,07h 00m,20:30,0.0,400
6,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,V.I.P Travels,A/C Seater / Sleeper (2+2),21:40,06h 00m,03:40,2.7,445
7,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:40,05h 20m,04:00,2.6,405
8,Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,ROYAL TRAVELS AND CARGO,A/C Seater / Sleeper (2+2),17:30,15h 00m,08:30,2.4,1596
9,Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,New Travel India,A/C Seater / Sleeper (2+1),18:00,14h 00m,08:00,1.3,2249
10,Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,New Travel India,A/C Seater / Sleeper (2+1),17:40,14h 50m,08:30,1.3,2249
11,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Bihar state road transport corporation (BSRTC) - 150571,Non AC Seater (2+2),21:20,03h 40m,01:00,3.6,230
12,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Ramna Travels,NON A/C Seater (2+2),12:45,03h 15m,16:00,0.0,240
13,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Siddhi Vinayak (BSRTC U/T),Non AC Seater (2+2),15:30,04h 00m,19:30,1.5,220
14,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:00,06h 00m,04:00,4.5,523
15,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,04h 55m,03:15,3.6,523
16,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),13:53,05h 27m,19:20,1.9,360
17,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,03h 02m,23:30,1.1,450
18,Delhi to Motihari,https://www.redbus.in/bus-tickets/delhi-to-motihari,Bihar state road transport corporation (BSRTC) - 152185,Volvo AC Seater 2+2,14:00,18h 30m,08:30,3.7,1148
19,Delhi to Motihari,https://www.redbus.in/bus-tickets/delhi-to-motihari,Rajdhani Express,A/C Seater / Sleeper (2+2),15:50,18h 10m,10:00,1.1,1999
20,Delhi to Motihari,https://www.redbus.in/bus-tickets/delhi-to-motihari,Travel Point World LLP,A/C Seater / Sleeper (2+2),14:30,16h 30m,07:00,1.5,1757
21,Delhi to Motihari,https://www.redbus.in/bus-tickets/delhi-to-motihari,Travel Point World LLP,A/C Seater / Sleeper (2+2),16:00,16h 01m,08:01,1.4,1757
22,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Bihar state road transport corporation (BSRTC) - 146159,Non AC Seater (2+2),14:30,05h 00m,19:30,2.7,285
23,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Bihar state road transport corporation (BSRTC) - 170674,Non AC Seater (2+2),20:30,05h 30m,02:00,2.3,285
24,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Vivek Travels,A/C Seater / Sleeper (2+1),13:15,07h 15m,20:30,0.0,450
25,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),15:00,17h 45m,08:45,0.0,405
26,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),15:00,06h 00m,21:00,0.0,405
27,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),15:15,06h 05m,21:20,0.0,405
28,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),15:21,06h 24m,21:45,0.0,405
29,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),15:30,06h 45m,22:15,0.0,405
30,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),15:37,06h 38m,22:15,0.0,405
31,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),21:55,07h 36m,05:31,2.3,523
32,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:00,07h 00m,05:00,2.2,450
33,Patna (Bihar) to Balmiki Nagar (bihar),https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,09h 32m,06:00,3.3,450
34,Patna (Bihar) to Balmiki Nagar (bihar),https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:40,08h 20m,07:00,3.0,405
35,Balmiki Nagar (bihar) to Patna (Bihar),https://www.redbus.in/bus-tickets/balmiki-nagar-bihar-to-patna,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),18:30,10h 30m,05:00,2.2,450
36,Patna (Bihar) to Katihar,https://www.redbus.in/bus-tickets/patna-to-katihar,Bihar state road transport corporation (BSRTC) - 142847,AC Seater (2+2),21:25,09h 05m,06:30,3.3,468
37,Patna (Bihar) to Katihar,https://www.redbus.in/bus-tickets/patna-to-katihar,SOBHA TRAVELS (A.T),A/C Seater / Sleeper (2+1),20:40,08h 20m,05:00,2.2,540
38,Patna (Bihar) to Katihar,https://www.redbus.in/bus-tickets/patna-to-katihar,Sri Krishna Rath,A/C Seater / Sleeper (2+2),20:30,09h 05m,05:35,1.8,694
39,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Bihar state road transport corporation (BSRTC) - 142847,AC Seater (2+2),21:25,08h 15m,05:40,3.4,468
40,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,MAA SHANTI TRAVELS,A/C Seater / Sleeper (2+1),21:25,08h 55m,06:20,4.4,550
41,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Divya Rath,A/C Sleeper (2+1),20:45,09h 00m,05:45,4.1,618
42,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,AITIANA CRUISELINERS,A/C Seater / Sleeper (2+1),21:15,09h 00m,06:15,4.0,500
43,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,AITIANA CRUISELINERS,Bharat Benz A/C Seater /Sleeper (2+1),20:20,09h 10m,05:30,3.8,500
44,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,MAA SHANTI TRAVELS,A/C Seater / Sleeper (2+1),22:10,08h 25m,06:35,4.3,550
45,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Sadhvi Rath,A/C Seater / Sleeper (2+1),20:20,10h 00m,06:20,3.4,495
46,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Raj Bus Services,A/C Seater / Sleeper (2+1),19:25,09h 40m,05:05,4.0,463
47,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Sri Krishna Tours and Travels,A/C Seater / Sleeper (2+1),20:25,08h 50m,05:15,3.6,650
48,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Raj Bus Services,Bharat Benz A/C Seater /Sleeper (2+1),18:25,09h 10m,03:35,3.2,450
49,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Sri Krishna Tours and Travels,A/C Seater / Sleeper (2+2),20:30,08h 50m,05:20,2.5,600
50,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Raj Bus Services,Bharat Benz A/C Seater /Sleeper (2+1),20:35,09h 00m,05:35,3.7,450
51,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Raj Bus Services,A/C Seater / Sleeper (2+2),16:06,11h 29m,03:35,3.7,540
52,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Raj Bus Services,A/C Seater / Sleeper (2+1),16:55,10h 10m,03:05,3.7,450
53,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Meera Travels (Yvts),A/C Seater / Sleeper (2+1),20:30,09h 00m,05:30,3.2,600
54,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Shatabdi Travels,A/C Seater / Sleeper (2+1),21:55,09h 00m,06:55,3.3,600
55,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Maa Satyabhama Rath,A/C Seater / Sleeper (2+1),21:00,09h 00m,06:00,3.4,600
56,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Hawa Hawai,A/C Seater / Sleeper (2+1),20:00,09h 00m,05:00,4.0,570
57,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Shatabdi Travels,A/C Seater / Sleeper (2+1),20:20,09h 00m,05:20,2.5,600
58,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Aarush Krrish,A/C Seater / Sleeper (2+1),21:00,09h 00m,06:00,2.0,540
59,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Shree Sai Krishna Luxury,A/C Seater / Sleeper (2+1),20:15,10h 00m,06:15,2.3,600
60,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Shivam Travels,NON A/C Seater / Sleeper (2+2),21:00,09h 30m,06:30,1.2,450
61,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Sree Balaji Travels,A/C Seater / Sleeper (2+1),20:15,08h 45m,05:00,1.0,509
62,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Sameer Travels (GT),A/C Seater / Sleeper (2+2),16:30,10h 00m,02:30,2.6,650
63,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Sri Krishna Rath,A/C Seater / Sleeper (2+2),20:30,09h 15m,05:45,2.1,463
64,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Jay Jagdambay Tour And Travels,A/C Seater / Sleeper (2+1),17:00,09h 30m,02:30,1.9,630
65,Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Bihar state road transport corporation (BSRTC) - 153594,AC Seater (2+2),20:41,07h 19m,04:00,3.1,396
66,Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Maharani Transport,A/C Seater / Sleeper (2+2),16:15,09h 45m,02:00,3.0,555
67,Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Rajdhani bus service,Non A/C Seater / Sleeper (2+1),18:30,07h 00m,01:30,3.6,509
68,Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Rekha Luxury,A/C Seater / Sleeper (2+1),20:00,08h 00m,04:00,3.5,509
69,Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Arzoo Travels,A/C Seater / Sleeper (2+1),20:30,06h 00m,02:30,3.7,463
70,Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Sadhvi Rath,A/C Seater / Sleeper (2+1),20:40,06h 00m,02:40,3.1,540
71,Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Arzoo Travels,Bharat Benz A/C Seater /Sleeper (2+1),20:45,06h 45m,03:30,3.7,481
72,Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Bharat paryatan (patliputra services),A/C Semi Sleeper (2+2),21:00,05h 18m,02:18,4.0,600
73,Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Mahuli Travels,A/C Seater / Sleeper (2+1),21:15,06h 45m,04:00,3.7,495
74,Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,MAA SHANTI TRAVELS,A/C Seater/Sleeper (2+1),21:40,06h 40m,04:20,3.5,600
75,Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Bhawani Travels,NON A/C Seater Push Back (2+2),13:25,07h 50m,21:15,0.0,449
76,Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Maharani Express,A/C Seater / Sleeper (2+2),18:00,07h 45m,01:45,2.6,585
77,Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Puja Rath,A/C Seater / Sleeper (2+1),21:00,06h 30m,03:30,2.0,540
78,Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,KRISHNA RATH LUXURY,A/C Seater / Sleeper (2+1),21:00,06h 00m,03:00,1.7,495
79,Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Sri Krishna Rath,A/C Seater / Sleeper (2+1),21:15,06h 15m,03:30,1.8,463
80,Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Sri Krishna Rath,A/C Seater / Sleeper (2+2),21:15,06h 15m,03:30,1.8,463
81,Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Chandralok Travels,A/C Seater / Sleeper (2+1),21:20,07h 10m,04:30,2.2,600
82,Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Sri Krishna Rath,NON A/C Seater / Sleeper (2+2),22:35,07h 25m,06:00,1.8,400
83,Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Arzoo Travels,A/C Sleeper (2+1),19:30,06h 00m,01:30,3.7,925
84,Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Divya Rath,A/C Sleeper (2+1),20:15,06h 45m,03:00,4.1,855
85,Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,MAA SHANTI TRAVELS,A/C Seater / Sleeper (2+1),20:27,06h 48m,03:15,3.5,800
86,Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Pappu Travels (yvts),A/C Seater/Sleeper (2+1),21:30,06h 00m,03:30,3.0,800
87,Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Tejas Maa Bhawani,A/C Sleeper (2+1),21:30,06h 30m,04:00,2.1,800
88,Ranchi to Patna (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-patna,Bihar state road transport corporation (BSRTC) - 153614,AC Seater (2+2),20:55,08h 35m,05:30,3.0,500
89,Ranchi to Patna (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-patna,Rekha Luxury,A/C Seater / Sleeper (2+1),20:30,09h 30m,06:00,4.1,509
90,Ranchi to Patna (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-patna,MAA SHANTI TRAVELS,A/C Seater/Sleeper (2+1),21:00,09h 35m,06:35,3.9,500
91,Ranchi to Patna (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-patna,Sri Sai ( Jharkhand Paryatak),A/C Seater / Sleeper (2+1),21:15,08h 45m,06:00,3.6,428
92,Ranchi to Patna (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-patna,Divya Rath,A/C Sleeper (2+1),22:10,07h 20m,05:30,3.6,855
93,Ranchi to Patna (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-patna,Rajdhani bus service,A/C Sleeper (2+1),23:00,06h 50m,05:50,3.8,739
94,Ranchi to Patna (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-patna,Mahuli Travels,A/C Seater / Sleeper (2+1),21:15,09h 00m,06:15,3.6,495
